loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status,timestamp
2900,60 months,11.61,63.21,B,2 years,MORTGAGE,58652.0,Verified,debt_consolidation,19.08,0,711,36.77,Fully Paid,2026-03-14 10:00:00
11900,36 months,26.76,456.07,F,< 1 year,RENT,25350.0,Not Verified,credit_card,19.18,1,652,44.9,Fully Paid,2026-05-08 16:00:00
7600,36 months,14.92,250.33,C,3 years,RENT,98827.0,Verified,debt_consolidation,38.72,0,708,88.37,Fully Paid,2026-04-26 12:00:00
15000,60 months,25.49,422.77,E,< 1 year,RENT,109560.0,Not Verified,credit_card,16.87,1,640,80.03,Fully Paid,2026-04-12 17:00:00
9500,36 months,9.63,293.9,B,,RENT,77579.0,Not Verified,debt_consolidation,29.53,0,747,80.93,Charged Off,2026-04-10 22:00:00
4700,36 months,11.44,143.92,A,3 years,MORTGAGE,59533.0,Verified,debt_consolidation,18.58,0,745,39.67,Fully Paid,2026-05-13 14:00:00
5400,60 months,16.31,130.77,D,10+ years,MORTGAGE,51112.0,Verified,debt_consolidation,14.25,0,667,44.67,Fully Paid,2026-03-13 04:00:00
11600,36 months,18.46,399.06,D,10+ years,MORTGAGE,30083.0,Not Verified,credit_card,4.31,1,713,42.73,Fully Paid,2026-04-29 23:00:00
9000,36 months,18.62,323.66,E,10+ years,MORTGAGE,11500.0,Not Verified,debt_consolidation,14.39,0,706,65.93,Fully Paid,2026-03-20 09:00:00
11100,60 months,28.85,347.96,G,10+ years,RENT,64625.0,Not Verified,credit_card,5.42,0,679,67.07,Fully Paid,2026-03-14 16:00:00
18900,36 months,18.85,663.07,D,10+ years,OWN,110688.0,Source Verified,home_improvement,26.55,0,701,55.9,Charged Off,2026-04-15 14:00:00
22900,36 months,34.33,957.52,G,8 years,MORTGAGE,71688.0,Not Verified,credit_card,28.12,0,654,70.63,Fully Paid,2026-05-21 12:00:00
10300,60 months,17.1,234.88,C,10+ years,MORTGAGE,71500.0,Not Verified,medical,27.94,0,701,63.43,Fully Paid,2026-04-27 07:00:00
13600,60 months,13.68,283.5,A,8 years,RENT,26162.0,Not Verified,credit_card,27.82,0,758,50.4,Fully Paid,2026-05-09 03:00:00
11500,60 months,11.81,232.13,B,2 years,MORTGAGE,34583.0,Not Verified,debt_consolidation,8.74,0,739,60.13,Fully Paid,2026-04-30 10:00:00
26600,36 months,16.83,887.7,B,5 years,RENT,67112.0,Source Verified,major_purchase,23.47,0,713,72.7,Fully Paid,2026-05-07 05:00:00
23800,36 months,15.23,793.12,B,10+ years,MORTGAGE,74462.0,Source Verified,car,12.88,0,731,43.7,Fully Paid,2026-04-16 17:00:00
15200,36 months,16.91,537.47,D,1 year,OWN,68052.0,Not Verified,major_purchase,13.68,0,673,55.97,Fully Paid,2026-03-10 12:00:00
15200,36 months,13.86,482.37,C,4 years,RENT,34438.0,Not Verified,debt_consolidation,13.97,0,699,74.07,Charged Off,2026-05-15 04:00:00
21300,36 months,15.26,715.22,C,3 years,RENT,158742.0,Source Verified,debt_consolidation,16.66,0,695,85.63,Fully Paid,2026-04-11 05:00:00
12700,60 months,19.11,309.58,D,2 years,MORTGAGE,53288.0,Verified,credit_card,12.61,1,663,58.9,Fully Paid,2026-04-15 10:00:00
16900,36 months,13.97,561.08,B,10+ years,MORTGAGE,104500.0,Source Verified,major_purchase,14.72,0,684,68.27,Fully Paid,2026-03-30 22:00:00
10900,36 months,9.78,345.5,B,10+ years,MORTGAGE,46192.0,Not Verified,debt_consolidation,4.64,1,726,61.53,Fully Paid,2026-03-18 16:00:00
11900,36 months,12.22,365.92,A,9 years,MORTGAGE,31527.0,Not Verified,credit_card,16.12,0,744,63.33,Fully Paid,2026-05-19 09:00:00
7500,36 months,16.78,250.11,C,10+ years,MORTGAGE,84175.0,Not Verified,medical,20.75,0,725,84.1,Fully Paid,2026-05-06 14:00:00
5800,36 months,10.02,177.82,B,9 years,RENT,50652.0,Not Verified,credit_card,18.32,0,728,78.47,Fully Paid,2026-04-24 09:00:00
7200,36 months,15.41,244.02,C,9 years,RENT,50600.0,Source Verified,debt_consolidation,27.28,0,687,55.17,Fully Paid,2026-03-30 19:00:00
7400,36 months,18.64,253.42,C,4 years,MORTGAGE,39081.0,Source Verified,debt_consolidation,12.87,0,684,84.7,Fully Paid,2026-05-09 05:00:00
7300,60 months,12.66,153.89,B,9 years,RENT,66062.0,Verified,debt_consolidation,9.47,0,702,63.3,Fully Paid,2026-04-14 13:00:00
7800,36 months,26.06,304.22,F,10+ years,RENT,58408.0,Source Verified,car,32.47,0,653,60.33,Charged Off,2026-04-12 06:00:00
9300,60 months,19.94,233.33,D,8 years,OWN,65933.0,Not Verified,debt_consolidation,27.06,1,701,94.33,Fully Paid,2026-04-11 03:00:00
11700,36 months,12.8,387.49,C,5 years,MORTGAGE,44083.0,Not Verified,debt_consolidation,14.97,0,728,84.43,Fully Paid,2026-03-17 21:00:00
13500,36 months,12.54,448.65,C,10+ years,MORTGAGE,113290.0,Verified,debt_consolidation,19.49,1,716,29.87,Fully Paid,2026-03-12 22:00:00
27900,36 months,21.64,1017.63,F,4 years,MORTGAGE,136325.0,Not Verified,debt_consolidation,14.12,1,670,31.1,Fully Paid,2026-04-13 18:00:00
9200,60 months,22.93,233.27,D,10+ years,RENT,194750.0,Verified,credit_card,14.98,0,684,81.27,Charged Off,2026-05-11 16:00:00
8000,36 months,12.33,266.98,C,5 years,MORTGAGE,39600.0,Not Verified,debt_consolidation,22.12,0,705,58.8,Fully Paid,2026-03-08 16:00:00
13400,36 months,35.0,568.85,G,2 years,RENT,78771.0,Not Verified,small_business,11.93,0,648,30.17,Fully Paid,2026-05-16 14:00:00
12600,60 months,11.05,246.83,B,7 years,MORTGAGE,28356.0,Source Verified,home_improvement,9.97,1,721,67.8,Fully Paid,2026-05-05 01:00:00
16800,60 months,15.86,394.05,D,8 years,MORTGAGE,105281.0,Verified,debt_consolidation,12.2,0,678,43.4,Fully Paid,2026-03-24 23:00:00
10200,36 months,10.4,314.48,A,10+ years,RENT,27590.0,Source Verified,major_purchase,30.42,0,760,71.27,Fully Paid,2026-04-21 09:00:00
21000,36 months,19.1,765.54,D,,OWN,38579.0,Verified,credit_card,13.03,1,670,15.37,Fully Paid,2026-03-11 18:00:00
9600,60 months,22.68,244.72,E,5 years,OWN,72962.0,Source Verified,credit_card,19.75,0,663,58.4,Fully Paid,2026-05-06 00:00:00
26000,60 months,13.55,546.68,B,6 years,MORTGAGE,253417.0,Verified,credit_card,11.05,3,733,82.73,Fully Paid,2026-04-29 07:00:00
21300,36 months,14.27,710.21,B,3 years,MORTGAGE,69483.0,Source Verified,debt_consolidation,13.87,0,712,48.67,Fully Paid,2026-04-02 16:00:00
13000,36 months,19.48,479.69,E,10+ years,RENT,37200.0,Source Verified,debt_consolidation,10.27,0,657,37.1,Fully Paid,2026-03-03 07:00:00
22500,36 months,16.24,733.85,B,6 years,RENT,93194.0,Not Verified,small_business,6.18,1,718,70.43,Fully Paid,2026-05-24 04:00:00
40000,60 months,9.7,795.83,A,10+ years,MORTGAGE,31802.0,Verified,debt_consolidation,21.16,0,741,86.63,Fully Paid,2026-04-11 02:00:00
10500,60 months,19.61,247.65,C,5 years,MORTGAGE,35467.0,Source Verified,debt_consolidation,26.17,1,695,52.47,Fully Paid,2026-05-16 07:00:00
5100,60 months,16.74,115.36,B,5 years,RENT,44917.0,Not Verified,debt_consolidation,34.61,0,724,67.33,Fully Paid,2026-04-28 04:00:00
12800,36 months,15.79,420.82,C,10+ years,MORTGAGE,73288.0,Not Verified,debt_consolidation,20.77,0,712,69.3,Fully Paid,2026-05-08 22:00:00
6300,36 months,14.4,202.99,B,6 years,MORTGAGE,97825.0,Source Verified,credit_card,21.46,0,704,79.2,Fully Paid,2026-05-09 20:00:00
40000,36 months,20.52,1476.78,E,2 years,RENT,32008.0,Not Verified,credit_card,7.0,1,651,52.43,Fully Paid,2026-03-17 05:00:00
5000,36 months,8.22,152.61,A,10+ years,MORTGAGE,161608.0,Source Verified,debt_consolidation,23.86,0,768,43.07,Fully Paid,2026-04-04 06:00:00
17500,36 months,27.2,693.02,F,3 years,OWN,79012.0,Verified,debt_consolidation,18.76,1,646,37.83,Fully Paid,2026-04-08 12:00:00
22800,36 months,14.58,758.16,C,3 years,MORTGAGE,95138.0,Verified,debt_consolidation,16.78,0,700,54.13,Fully Paid,2026-04-11 12:00:00
8500,36 months,17.28,304.23,D,8 years,MORTGAGE,85000.0,Source Verified,debt_consolidation,14.22,1,707,71.9,Charged Off,2026-03-05 08:00:00
10000,36 months,13.44,324.74,B,10+ years,RENT,55912.0,Not Verified,major_purchase,31.74,1,706,39.1,Fully Paid,2026-04-18 14:00:00
11000,36 months,16.02,384.13,D,5 years,MORTGAGE,94783.0,Verified,debt_consolidation,19.16,0,709,54.97,Charged Off,2026-03-10 00:00:00
8700,36 months,23.42,320.76,F,10+ years,RENT,119917.0,Verified,credit_card,27.16,0,670,63.93,Charged Off,2026-04-29 17:00:00
18200,36 months,14.67,593.0,C,3 years,MORTGAGE,26000.0,Verified,debt_consolidation,27.65,0,700,56.03,Charged Off,2026-04-28 21:00:00
10800,60 months,18.1,243.53,C,10+ years,MORTGAGE,67679.0,Not Verified,credit_card,16.0,0,693,63.93,Fully Paid,2026-05-19 17:00:00
14000,36 months,17.45,474.76,C,10+ years,MORTGAGE,55750.0,Not Verified,debt_consolidation,29.07,0,688,28.73,Fully Paid,2026-04-29 03:00:00
11900,60 months,15.48,273.69,C,< 1 year,RENT,67375.0,Not Verified,debt_consolidation,22.35,0,708,38.17,Fully Paid,2026-04-01 16:00:00
23800,60 months,14.62,495.44,B,10+ years,RENT,116704.0,Source Verified,credit_card,21.38,0,703,46.23,Fully Paid,2026-05-18 21:00:00
18900,36 months,12.13,611.0,B,6 years,RENT,80300.0,Verified,medical,11.0,1,738,60.07,Fully Paid,2026-04-03 22:00:00
10500,36 months,15.01,356.37,C,5 years,RENT,72844.0,Source Verified,debt_consolidation,9.92,0,729,47.9,Fully Paid,2026-03-26 20:00:00
20600,36 months,11.74,633.62,B,3 years,OWN,41088.0,Not Verified,debt_consolidation,44.79,1,754,63.07,Fully Paid,2026-05-16 19:00:00
13600,36 months,11.7,436.92,B,3 years,MORTGAGE,99550.0,Not Verified,home_improvement,18.27,0,728,93.17,Fully Paid,2026-04-03 22:00:00
11300,36 months,18.21,409.71,D,7 years,RENT,113500.0,Verified,debt_consolidation,23.41,0,667,77.0,Charged Off,2026-03-03 01:00:00
28500,60 months,16.3,660.19,C,4 years,RENT,47927.0,Not Verified,credit_card,18.6,0,697,67.33,Fully Paid,2026-04-06 11:00:00
18800,60 months,18.52,437.64,D,10+ years,MORTGAGE,70200.0,Verified,major_purchase,10.11,0,704,55.5,Fully Paid,2026-05-06 23:00:00
3700,36 months,7.73,113.79,A,2 years,MORTGAGE,89317.0,Source Verified,credit_card,21.87,0,767,23.83,Fully Paid,2026-03-19 08:00:00
11800,36 months,8.87,360.96,A,10+ years,OWN,50615.0,Not Verified,major_purchase,29.75,0,748,56.53,Fully Paid,2026-04-07 16:00:00
10100,36 months,9.4,320.71,B,10+ years,MORTGAGE,45238.0,Not Verified,credit_card,23.54,0,724,54.67,Charged Off,2026-03-14 11:00:00
40000,36 months,17.58,1358.96,C,10+ years,MORTGAGE,17667.0,Verified,home_improvement,10.06,0,695,62.33,Fully Paid,2026-05-01 01:00:00
5400,36 months,30.32,222.84,G,1 year,MORTGAGE,60738.0,Verified,debt_consolidation,24.23,0,637,54.13,Charged Off,2026-04-11 05:00:00
8300,36 months,8.14,254.92,A,8 years,OWN,52406.0,Verified,credit_card,7.42,0,720,88.4,Fully Paid,2026-03-23 18:00:00
8500,36 months,9.27,267.42,A,8 years,MORTGAGE,160233.0,Verified,credit_card,13.23,0,743,98.83,Fully Paid,2026-03-21 16:00:00
13700,36 months,20.01,488.51,D,10+ years,MORTGAGE,74200.0,Verified,debt_consolidation,15.06,1,712,83.3,Charged Off,2026-04-14 10:00:00
9500,36 months,16.67,318.58,C,4 years,MORTGAGE,46250.0,Source Verified,home_improvement,11.66,2,704,58.63,Fully Paid,2026-04-30 03:00:00
15900,60 months,12.72,316.49,B,10+ years,MORTGAGE,74231.0,Source Verified,debt_consolidation,5.99,0,735,58.33,Fully Paid,2026-05-21 01:00:00
6100,36 months,14.31,202.05,C,9 years,RENT,120310.0,Not Verified,small_business,22.75,0,702,61.53,Fully Paid,2026-04-11 17:00:00
13400,36 months,12.2,443.15,B,9 years,MORTGAGE,72948.0,Not Verified,debt_consolidation,14.8,0,686,23.27,Fully Paid,2026-03-10 22:00:00
7400,36 months,20.49,260.13,C,10+ years,MORTGAGE,42656.0,Verified,credit_card,26.97,0,715,101.6,Fully Paid,2026-05-05 16:00:00
7200,36 months,28.12,284.83,F,9 years,MORTGAGE,74996.0,Verified,credit_card,30.82,1,669,80.67,Fully Paid,2026-04-22 09:00:00
